review,category or product name,updated-by ,reference link,sentiment
"மனோ மணி ""தமிழே! அமுதே!""",சுஜாதாவின் பேசும் பொம்மைகள்.(விமர்சனம்),sanjju,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AE%B5%E0%AE%A9%E0%AE%BF-%E0%AE%A4%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81-%E0%AE%9A%E0%AF%81%E0%AE%9C%E0%AE%BE%E0%AE%A4%E0%AE%BE-bw6qgk7o8e98?category=%2Fbook-review,positive
சூப்பரோ சூப்பர்,சுஜாதாவின் பேசும் பொம்மைகள்.(விமர்சனம்),sanjju,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AE%B5%E0%AE%A9%E0%AE%BF-%E0%AE%A4%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81-%E0%AE%9A%E0%AF%81%E0%AE%9C%E0%AE%BE%E0%AE%A4%E0%AE%BE-bw6qgk7o8e98?category=%2Fbook-review,positive
கதை நன்றாக இருக்கிறது. சுஜாதா கதைகளை இப்போதுதான் படிக்க ஆரம்பித்து இருக்கிறீர்கள் என நினைக்கிறேன். நில்- கவனி- தாக்கு படிக்கும் போது விக்ரம் /திருடா -திருடா ஞாபகம் வந்ததில் வியப்பில்லை. ஏனென்றால் அதை எழுதியதும் சுஜாதாதான். சுஜாதா எழுத்து எல்லா வயதினரையும் ஈர்க்கும் என்பதில் சந்தேகமில்லை. நிறைய சுஜாதா கதைகள் படியுங்கள். மனதுக்கு மகிழ்ச்சியோடு பல விஷயங்களை தெரிந்து கொள்ளவும் முடியும்.,நில் கவனி தாக்கு - சுஜாதா,sanjju,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AE%B5%E0%AE%A9%E0%AE%BF-%E0%AE%A4%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81-%E0%AE%9A%E0%AF%81%E0%AE%9C%E0%AE%BE%E0%AE%A4%E0%AE%BE-bw6qgk7o8e98?category=%2Fbook-review,positive
கதை பரவாயில்லை... நீங்கள் இன்னும் நிறைய எழுத்தாளர்கள் பற்றி நிறையவே அறியவேண்டும்.. எழுத்தில் என்ன shankar பட ஸ்பெஷல் effects a கொண்டு வர முடியும் என எழுதியிருந்தீர்கள்.. அதை விட அதிகமாகவே கொண்டுவந்திருக்கிறார்கள் எழுத்தில்.... நிறைய படிக்கவும்....,நில் கவனி தாக்கு - சுஜாதா,sanjju,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AE%B5%E0%AE%A9%E0%AE%BF-%E0%AE%A4%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81-%E0%AE%9A%E0%AF%81%E0%AE%9C%E0%AE%BE%E0%AE%A4%E0%AE%BE-bw6qgk7o8e98?category=%2Fbook-review,positive
"சுஜாதா என்றால் சுவாரஸ்யம் , எதைப் பற்றி எழுதினாலும் அதில் வாசகர்களை வசப் படுத்தும் வரிகள் ஒரு இடைவிடாத நேர்த்தி , பல அறிவியல் செய்திகளை எளிமைப் படுத்திய வித்தகர். தங்கள் கட்டுரை சுவை பட இருந்தது. வாழ்த்துக்கள்.",நில் கவனி தாக்கு - சுஜாதா,sanjju,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AE%B5%E0%AE%A9%E0%AE%BF-%E0%AE%A4%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81-%E0%AE%9A%E0%AF%81%E0%AE%9C%E0%AE%BE%E0%AE%A4%E0%AE%BE-bw6qgk7o8e98?category=%2Fbook-review,positive
அருமை,நில் கவனி தாக்கு - சுஜாதாபண்பாட்டுப் பாசக்காரப்பயக பார்வையில் பெண்கள்,sanjju,https://tamil.pratilipi.com/story/%E0%AE%A8%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%95%E0%AE%B5%E0%AE%A9%E0%AE%BF-%E0%AE%A4%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81-%E0%AE%9A%E0%AF%81%E0%AE%9C%E0%AE%BE%E0%AE%A4%E0%AE%BE-bw6qgk7o8e98?category=%2Fbook-review,positive
சூப்பர்,நில் கவனி தாக்கு - சுஜாதாபண்பாட்டுப் பாசக்காரப்பயக பார்வையில் பெண்கள்,sanjju,https://tamil.pratilipi.com/story/%E0%AE%AA%E0%AE%A3%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D-%E0%AE%AA%E0%AE%BE%E0%AE%9A%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%AF%E0%AE%95-%E0%AE%AA%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%B5%E0%AF%88%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%AA%E0%AF%86%E0%AE%A3%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D-3gy7q0x07uve?category=%2Fbook-review,positive
உண்மை,நில் கவனி தாக்கு - சுஜாதாபண்பாட்டுப் பாசக்காரப்பயக பார்வையில் பெண்கள்,sanjju,https://tamil.pratilipi.com/story/%E0%AE%AA%E0%AE%A3%E0%AF%8D%E0%AE%AA%E0%AE%BE%E0%AE%9F%E0%AF%8D%E0%AE%9F%E0%AF%81%E0%AE%AA%E0%AF%8D-%E0%AE%AA%E0%AE%BE%E0%AE%9A%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%BE%E0%AE%B0%E0%AE%AA%E0%AF%8D%E0%AE%AA%E0%AE%AF%E0%AE%95-%E0%AE%AA%E0%AE%BE%E0%AE%B0%E0%AF%8D%E0%AE%B5%E0%AF%88%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%AA%E0%AF%86%E0%AE%A3%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D-3gy7q0x07uve?category=%2Fbook-review,positive
மிக அருமை நண்பரே. சில தினங்களுக்கு முன்புதான் யூடூப்பில் சிதம்பர நினைவுகளில் ஒரு பகுதியை திரு. பாவா செல்லதுரை அவர்களால் சொல்லக்கேட்டேன். வலை தளத்தில் அந்த புத்தகத்தை தேடும் போது உங்களின் பதிவையும் படித்தேன் மிக அருமை.,,,,positive
அருமையான பகிர்வு. நீண்ட நாட்களாக வாசிக்க நினைத்திருந்த புத்தகம் தற்போது வாங்கியே ஆகவேண்டும் என்ற ஆவலை தூண்டும் விதமாக உள்ளது தங்கள் விமர்சனம்.நன்றி,,sanjju,,positive
நிச்சயமாக சிதம்பர நினைவுகள் கதையை படிக்க தூண்டுகிறது,சிதம்பர நினைவுகள்,sanjju,https://tamil.pratilipi.com/story/%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%B0-%E0%AE%A8%E0%AE%BF%E0%AE%A9%E0%AF%88%E0%AE%B5%E0%AF%81%E0%AE%95%E0%AE%B3%E0%AF%8D-1i2j3fmmpi39?category=%2Fbook-review,positive
மிகவும் சிறப்பு,சிதம்பர நினைவுகள்,sanjju,https://tamil.pratilipi.com/story/%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%B0-%E0%AE%A8%E0%AE%BF%E0%AE%A9%E0%AF%88%E0%AE%B5%E0%AF%81%E0%AE%95%E0%AE%B3%E0%AF%8D-1i2j3fmmpi39?category=%2Fbook-review,positive
ஆக சிறந்தது,சிதம்பர நினைவுகள்,sanjju,https://tamil.pratilipi.com/story/%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%B0-%E0%AE%A8%E0%AE%BF%E0%AE%A9%E0%AF%88%E0%AE%B5%E0%AF%81%E0%AE%95%E0%AE%B3%E0%AF%8D-1i2j3fmmpi39?category=%2Fbook-review,positive
அருமையான பதிவு,சிதம்பர நினைவுகள்,sanjju,https://tamil.pratilipi.com/story/%E0%AE%9A%E0%AE%BF%E0%AE%A4%E0%AE%AE%E0%AF%8D%E0%AE%AA%E0%AE%B0-%E0%AE%A8%E0%AE%BF%E0%AE%A9%E0%AF%88%E0%AE%B5%E0%AF%81%E0%AE%95%E0%AE%B3%E0%AF%8D-1i2j3fmmpi39?category=%2Fbook-review,positive
மற்றமை தன்னிலை ஒருபடித்தான எதிர்வுமில்லை இணைவுமில்லை. மேலதிகமாக அது பைனரிகளால் அவிந்த கங்கின் சூட்டில் கனல்வதும் ஆகும். விரிவாக அலசாமல் நாவலைத் தேடவைக்கும் விமர்சனமாக இருக்கிறது. அடுத்து அசோகமித்திரன் மற்றும் நகுலனுக்கு ஊடிழையாக கோபிகிருஷ்ணனைச் சொல்கிறார்கள். நீங்கள் உளவியல் பிறழ்வை கோபிக்கு அடுத்து விரிவாகப் பேசியதாக கணேசரை தடங்காட்டுகிறீர்கள். நீலபத்பநாபனும் ஆத்மநாமும் எங்கே போய்விட்டார்கள் என்று தெரியவில்லை. குறிப்பாக நீலபத்துவின் வயோதிகர்களும் மருத்துவமனையும் உளவியல் சிதிலத்தின் நுட்பமான கண்ணிகள். நன்று நேசர்.,மெனிஞ்சியோமா – நோய்மையின் எதிர் அழகியல்,sanjju,https://tamil.pratilipi.com/story/%E0%AE%AE%E0%AF%86%E0%AE%A9%E0%AE%BF%E0%AE%9E%E0%AF%8D%E0%AE%9A%E0%AE%BF%E0%AE%AF%E0%AF%8B%E0%AE%AE%E0%AE%BE-%E2%80%93-%E0%AE%A8%E0%AF%8B%E0%AE%AF%E0%AF%8D%E0%AE%AE%E0%AF%88%E0%AE%AF%E0%AE%BF%E0%AE%A9%E0%AF%8D-%E0%AE%8E%E0%AE%A4%E0%AE%BF%E0%AE%B0%E0%AF%8D-%E0%AE%85%E0%AE%B4%E0%AE%95%E0%AE%BF%E0%AE%AF%E0%AE%B2%E0%AF%8D-4u8tyrfr1x1r?category=%2Fbook-review,positive
சுயசரிதை படிப்பது என்பது ஆழமாக உணர வைப்பது என்ற வார்த்தைகள் மிகப்பொருத்தம். நன்றி அடுத்த புத்தகத்தைப் பற்றிய விமர்சனத்திற்கு i m waiting,,sanjju,,positive
உங்களது கதை அருமை அய்யா . இளைய தலைமுறையினருக்கு உங்களது கதை நல்ல வழிகாட்டுதல்.,,sanjju,,positive
சுருக்கம் தெளிவு.வாழ்த்துகள்,,sanjju,,positive
நன்று,,sanjju,,positive
ஒப்புமை...நடை நன்றாக இருக்கிறது விஷால்.,,sanjju,,positive
அருமை ,கனவை நனவாக்குதல்!,sanjju,https://tamil.pratilipi.com/story/%E0%AE%95%E0%AE%A9%E0%AE%B5%E0%AF%88-%E0%AE%A8%E0%AE%A9%E0%AE%B5%E0%AE%BE%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AF%81%E0%AE%A4%E0%AE%B2%E0%AF%8D-n7lf2hutxwuy?category=%2Fbook-review,positive
சூப்பரான பதிவு,புத்தக விமர்சனம் – புள்ளிகள் கோடுகள் கோலங்கள்,sanjju,https://tamil.pratilipi.com/story/%E0%AE%AA%E0%AF%81%E0%AE%A4%E0%AF%8D%E0%AE%A4%E0%AE%95-%E0%AE%B5%E0%AE%BF%E0%AE%AE%E0%AE%B0%E0%AF%8D%E0%AE%9A%E0%AE%A9%E0%AE%AE%E0%AF%8D-%E2%80%93-%E0%AE%AA%E0%AF%81%E0%AE%B3%E0%AF%8D%E0%AE%B3%E0%AE%BF%E0%AE%95%E0%AE%B3%E0%AF%8D-%E0%AE%95%E0%AF%8B%E0%AE%9F%E0%AF%81%E0%AE%95%E0%AE%B3%E0%AF%8D-%E0%AE%95%E0%AF%8B%E0%AE%B2%E0%AE%99%E0%AF%8D%E0%AE%95%E0%AE%B3%E0%AF%8D-81f9niht11f0?category=%2Fbook-review,positive
கதை அவ்வளவு நன்றாக இல்லை,,sanjju,,negative
இந்த புத்தகத்தை படித்து உங்கள் நேரத்தை வீணடிக்க வேண்டாம்,,sanjju,,negative
பணம் மதிப்பு இல்லை,,sanjju,,negative
புத்தகத்தின் காகித தரம் நன்றாக இல்லை,,sanjju,,negative
கதை மிகவும் மோசமாக உள்ளது அது சுவாரஸ்யமானஅல்ல,,sanjju,,negative
கதை முடிவு நன்றாக இல்லை,,sanjju,,negative
"நான் கதை பிடிக்கவில்லை , நான் இந்த புத்தகம் படித்து நேரத்தை வீணடிக்க உணர்கிறேன்",,sanjju,,negative
"புத்தகம் சுவாரஸ்யமாக இருக்க வேண்டும் என்று நான் நினைத்தேன், ஆனால் அது பயங்கரமாக இருந்தது",,sanjju,,positive
2 முறை படித்த பிறகும் கதை புரியவில்லை .அது கூட நன்றாக இல்லை,,sanjju,,negative
"புத்தகம் எப்போதும் எங்கள் இதயத்தைத் தொடுகிறது, ஆனால் இது ஒரு ஊமை புத்தகம்",,sanjju,,negative
உள்ளடக்கம் மிகவும் சலிப்பூட்டுவதாக இருந்தது,,sanjju,,negative
பாலகாண்டம்- நா.முத்துக்குமார் உறவுகளை தம் சின்னஞ்சிறு கதைகளுள் அடக்கி எதார்த்தமாக நமக்கு புரிய வைப்பதில் நா. முத்துக்குமாரை எவரும் மிஞ்சிட முடியாது. தன் பாலகாண்டத்தில் ஏற்பட்ட நிகழ்வகளை வாழ்கை பயணத்தோடு பிணைத்து ஓர் அழகான பாதயை காட்டுகிறது நா. முத்துக்குமாரின் பாலகாண்டம்.,பாலகாண்டம்,priya,https://www.goodreads.com/book/show/17908749?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=5,positive
"""பால காண்டம் ஒரு நிதியைப் போன்றது.  தண்ணீர் வற்றி விட்டாலும் மணலுக்கடியில் அந்த நதி ஓடிக்கொண்டுதான் இருக்கும் !"" வாசிக்கும் போது எங்கோ என்னுடைய பாலிய வயதில் கடந்து வந்த அனுபவம்.",பாலகாண்டம்,priya,https://www.goodreads.com/book/show/17908749?from_search=true&from_srp=true&qid=1jV5u49HLN&rank=5,positive
"மரியாதைக்குரிய ஹால் எல்ரோட், இது என் வாழ்க்கையில் கடந்து வரும் மிக முக்கியமான புத்தகத்தில் ஒன்றாகும்.இது நிச்சயமாக இளைஞர்கள் தங்கள் வாழ்க்கையை மேம்படுத்த உதவும்.மிகவும் நன்றி.",The Miracle Morning: The 6 Habits That Will Transform Your Life Before 8 AM,priya,https://www.amazon.in/Miracle-Morning-Habits-Transform-Before/product-reviews/9389143950/ref=cm_cr_getr_d_paging_btm_prev_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,positive
காலை மிராக்கிள் திட்டத்தின் காரணமாக என் வாழ்க்கை மிகவும் நன்றாக மாறியது.இது பெரிய விஷயம். உங்கள் வாழ்க்கையில் அதை தவறவிடாதீர்கள்.மிராக்கிள் மார்னிங் புத்தகத்தில் உங்கள் அனுபவங்களைப் பகிர்ந்து கொண்டதற்காக திரு ஹால் எர்லோட் நன்றி.,The Miracle Morning: The 6 Habits That Will Transform Your Life Before 8 AM,priya,https://www.amazon.in/Miracle-Morning-Habits-Transform-Before/product-reviews/9389143950/ref=cm_cr_getr_d_paging_btm_prev_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,positive
நான் 25 நாட்கள் தொடர்ந்து இருந்த 6 பழக்கம் ... நான் வித்தியாசமாக உணர்கிறேன் மற்றும் நான் என் கனவு மீது நம்பிக்கை பெற ... வாழ்க்கையை மாற்றும் புத்தகம்,The Miracle Morning: The 6 Habits That Will Transform Your Life Before 8 AM,priya,https://www.amazon.in/Miracle-Morning-Habits-Transform-Before/product-reviews/9389143950/ref=cm_cr_getr_d_paging_btm_prev_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,positive
"சிறந்த புத்தகம். இது முன்னதாக எழுந்து, அதிகாலையில் ஒரு மணி நேரத்திற்குள் எளிய 6 குறிப்பிடப்பட்ட நடவடிக்கைகளை செய்ய வலியுறுத்துகிறது, இது சராசரிக்கும் குறைவான அல்லது ஏழையிலிருந்து வெற்றிகரமான அல்லது பணக்காரர்களாக வாழ்க்கையை மாற்றும்",The Miracle Morning: The 6 Habits That Will Transform Your Life Before 8 AM,priya,https://www.amazon.in/Miracle-Morning-Habits-Transform-Before/product-reviews/9389143950/ref=cm_cr_getr_d_paging_btm_prev_1?ie=UTF8&reviewerType=all_reviews&pageNumber=1,positive
